Time,Driver,Position,GapToLeader,IntervalToPositionAhead
3.719,1,1,,
6.532,1,1,LAP 1,LAP 1
3557.24,1,1,LAP 2,LAP 2
3565.314,1,2,LAP 2,LAP 2
3565.503,1,2,+0.115,+0.115
3569.03,1,2,+0.245,+0.245
3576.542,1,2,+0.608,+0.608
3582.032,1,2,+0.577,+0.577
3585.454,1,2,+0.516,+0.516
3588.657,1,2,+0.498,+0.498
3593.657,1,2,+0.876,+0.876
3597.048,1,2,+0.965,+0.965
3601.579,1,2,+0.987,+0.987
3606.657,1,2,+1.000,+1.000
3609.813,1,2,+0.982,+0.982
3614.313,1,2,+0.814,+0.814
3617.313,1,2,+0.699,+0.699
3622.923,1,2,+0.851,+0.851
3627.919,1,2,+0.805,+0.805
3631.989,1,2,+0.685,+0.685
3635.705,1,2,+0.721,+0.721
3638.589,1,2,+0.731,+0.731
3640.373,1,2,+0.720,+0.720
3641.514,1,2,+0.709,+0.709
3642.105,1,2,+0.699,+0.699
3645.969,1,2,+0.583,+0.583
3649.859,1,2,+0.375,+0.375
3653.219,1,2,+0.405,+0.405
3660.313,1,2,+0.478,+0.478
3665.641,1,2,+0.435,+0.435
3669.063,1,2,+0.301,+0.301
3672.313,1,2,+0.288,+0.288
3678.36,1,2,+0.498,+0.498
3680.954,1,2,+0.557,+0.557
3685.063,1,2,+0.686,+0.686
3690.11,1,2,+0.821,+0.821
3693.313,1,2,+0.795,+0.795
3697.797,1,2,+0.589,+0.589
3700.923,1,2,+0.578,+0.578
3706.407,1,2,+0.751,+0.751
3711.423,1,2,+0.666,+0.666
3715.438,1,2,+0.492,+0.492
3719.313,1,2,+0.555,+0.555
3722.141,1,2,+0.571,+0.571
3723.845,1,2,+0.560,+0.560
3725.017,1,2,+0.547,+0.547
3725.61,1,2,+0.537,+0.537
3729.454,1,2,+0.410,+0.410
3733.267,1,2,+0.094,+0.094
3736.251,1,1,LAP 4,LAP 4
3808.898,1,1,LAP 5,LAP 5
3892.469,1,1,LAP 6,LAP 6
3976.064,1,1,LAP 7,LAP 7
4059.37,1,1,LAP 8,LAP 8
4142.497,1,1,LAP 9,LAP 9
4225.605,1,1,LAP 10,LAP 10
4308.7,1,1,LAP 11,LAP 11
4391.722,1,1,LAP 12,LAP 12
4474.759,1,1,LAP 13,LAP 13
4558.033,1,1,LAP 14,LAP 14
4641.142,1,1,LAP 15,LAP 15
4724.233,1,1,LAP 16,LAP 16
4807.24,1,1,LAP 17,LAP 17
4890.102,1,1,LAP 18,LAP 18
4972.851,1,1,LAP 19,LAP 19
5055.664,1,1,LAP 20,LAP 20
5138.522,1,1,LAP 21,LAP 21
5221.435,1,1,LAP 22,LAP 22
5304.176,1,1,LAP 23,LAP 23
5386.998,1,1,LAP 24,LAP 24
5469.788,1,1,LAP 25,LAP 25
5552.757,1,1,LAP 26,LAP 26
5635.686,1,1,LAP 27,LAP 27
5718.705,1,1,LAP 28,LAP 28
5801.752,1,1,LAP 29,LAP 29
5884.569,1,1,LAP 30,LAP 30
5967.473,1,1,LAP 31,LAP 31
6050.39,1,1,LAP 32,LAP 32
6133.306,1,1,LAP 33,LAP 33
6216.288,1,1,LAP 34,LAP 34
6299.011,1,1,LAP 35,LAP 35
6381.696,1,1,LAP 36,LAP 36
6464.375,1,1,LAP 37,LAP 37
6551.653,1,2,LAP 37,LAP 37
6551.807,1,1,LAP 37,LAP 37
6551.817,1,1,LAP 38,LAP 38
6556.165,1,2,LAP 38,LAP 38
6562.33,1,3,LAP 38,LAP 38
6579.514,1,3,+19.323,+13.231
6583.327,1,3,+19.698,+13.773
6590.235,1,3,+19.679,+13.779
6595.63,1,3,+19.708,+13.791
6599.099,1,3,+19.702,+13.760
6602.226,1,3,+19.663,+13.685
6606.696,1,3,+19.566,+13.641
6609.985,1,3,+19.577,+13.643
6614.379,1,3,+19.498,+13.603
6619.325,1,3,+19.429,+13.599
6622.418,1,3,+19.424,+13.607
6626.986,1,3,+19.420,+13.582
6629.956,1,3,+19.371,+13.495
6635.397,1,3,+19.274,+13.410
6640.252,1,3,+19.270,+13.395
6644.345,1,3,+19.227,+13.353
6647.861,1,3,+19.085,+13.227
6650.705,1,3,+19.050,+13.187
6652.408,1,3,+19.039,+13.179
6653.564,1,3,+19.038,+13.179
6654.174,1,3,+19.034,+13.177
6658.095,1,3,+19.023,+13.165
6662.033,1,3,+19.093,+13.202
6665.392,1,3,+19.046,+13.265
6672.049,1,3,+18.714,+12.929
6677.408,1,3,+18.716,+12.925
6680.861,1,3,+18.726,+12.923
6683.939,1,3,+18.689,+12.859
6688.33,1,3,+18.557,+12.757
6691.58,1,3,+18.556,+12.792
6696.189,1,3,+18.359,+12.735
6700.801,1,3,+18.255,+12.663
6703.942,1,3,+18.239,+12.643
6708.504,1,3,+18.245,+12.637
6711.473,1,3,+18.190,+12.557
6716.77,1,3,+18.007,+12.396
6721.692,1,3,+17.974,+12.381
6725.801,1,3,+18.026,+12.372
6729.302,1,3,+17.817,+12.247
6732.179,1,3,+17.758,+12.193
6733.818,1,3,+17.747,+12.181
6734.975,1,3,+17.744,+12.178
6735.602,1,3,+17.745,+12.177
6739.479,1,3,+17.763,+12.178
6743.432,1,3,+17.867,+12.238
6746.778,1,3,+17.898,+12.212
6753.575,1,3,+17.594,+12.096
6758.918,1,3,+17.586,+12.088
6762.387,1,3,+17.534,+12.088
6765.481,1,3,+17.489,+12.052
6769.887,1,3,+17.390,+12.024
6773.137,1,3,+17.389,+12.049
6777.497,1,3,+17.252,+11.968
6782.387,1,3,+17.171,+11.933
6785.528,1,3,+17.153,+11.925
6790.09,1,3,+17.089,+11.930
6793.059,1,3,+17.013,+11.835
6798.341,1,3,+16.920,+11.670
6803.325,1,3,+16.902,+11.647
6807.419,1,3,+16.881,+11.663
6810.919,1,3,+16.789,+11.560
6813.762,1,3,+16.764,+11.514
6815.434,1,3,+16.755,+11.506
6816.606,1,3,+16.754,+11.507
6817.216,1,3,+16.749,+11.506
6821.075,1,3,+16.724,+11.499
6824.997,1,3,+16.718,+11.546
6828.419,1,3,+16.652,+11.539
6835.138,1,3,+16.557,+11.374
6840.513,1,3,+16.543,+11.363
6843.95,1,3,+16.051,+11.347
6847.009,1,3,+15.761,+11.222
6851.426,1,3,+15.653,+11.016
6854.754,1,3,+15.670,+11.045
6859.102,1,3,+15.497,+10.948
6863.854,1,3,+15.349,+10.801
6867.045,1,3,+15.318,+10.780
6871.528,1,3,+15.223,+10.772
6874.49,1,3,+15.134,+10.686
6879.796,1,3,+15.022,+10.488
