Time,Driver,Position,GapToLeader,IntervalToPositionAhead
8.185,1,1,LAP 1,LAP 1
3808.805,1,1,LAP 2,LAP 2
3886.913,1,1,LAP 3,LAP 3
3964.802,1,1,LAP 4,LAP 4
4041.91,1,1,LAP 5,LAP 5
4119.253,1,1,LAP 6,LAP 6
4196.845,1,1,LAP 7,LAP 7
4274.406,1,1,LAP 8,LAP 8
4367.076,1,1,LAP 9,LAP 9
4444.794,1,1,LAP 10,LAP 10
4521.933,1,1,LAP 11,LAP 11
4599.197,1,1,LAP 12,LAP 12
4692.368,1,1,LAP 13,LAP 13
4842.287,1,1,LAP 14,LAP 14
4966.925,1,1,LAP 15,LAP 15
5081.595,1,1,LAP 16,LAP 16
5216.515,1,1,LAP 17,LAP 17
5293.654,1,1,LAP 18,LAP 18
5370.356,1,1,LAP 19,LAP 19
5446.964,1,1,LAP 20,LAP 20
5523.572,1,1,LAP 21,LAP 21
5600.226,1,1,LAP 22,LAP 22
5676.944,1,1,LAP 23,LAP 23
5753.849,1,1,LAP 24,LAP 24
5830.535,1,1,LAP 25,LAP 25
5907.19,1,1,LAP 26,LAP 26
5983.954,1,1,LAP 27,LAP 27
6060.89,1,1,LAP 28,LAP 28
6137.889,1,1,LAP 29,LAP 29
6214.716,1,1,LAP 30,LAP 30
6291.699,1,1,LAP 31,LAP 31
6368.541,1,1,LAP 32,LAP 32
6445.571,1,1,LAP 33,LAP 33
6522.304,1,1,LAP 34,LAP 34
6599.35,1,1,LAP 35,LAP 35
6676.567,1,1,LAP 36,LAP 36
6754.347,1,1,LAP 37,LAP 37
6831.408,1,1,LAP 38,LAP 38
6908.485,1,1,LAP 39,LAP 39
6985.749,1,1,LAP 40,LAP 40
7063.154,1,1,LAP 41,LAP 41
7140.199,1,1,LAP 42,LAP 42
7233.37,1,1,LAP 43,LAP 43
7312.743,1,1,LAP 44,LAP 44
7389.039,1,1,LAP 45,LAP 45
7465.115,1,1,LAP 46,LAP 46
7541.349,1,1,LAP 47,LAP 47
7617.378,1,1,LAP 48,LAP 48
7693.518,1,1,LAP 49,LAP 49
7769.36,1,1,LAP 50,LAP 50
7845.281,1,1,LAP 51,LAP 51
7921.029,1,1,LAP 52,LAP 52
7997.169,1,1,LAP 53,LAP 53
8072.855,1,1,LAP 54,LAP 54
8148.572,1,1,LAP 55,LAP 55
8224.399,1,1,LAP 56,LAP 56
8300.288,1,1,LAP 57,LAP 57
8376.224,1,1,LAP 58,LAP 58
8452.176,1,1,LAP 59,LAP 59
8527.956,1,1,LAP 60,LAP 60
8603.83,1,1,LAP 61,LAP 61
8679.797,1,1,LAP 62,LAP 62
8755.702,1,1,LAP 63,LAP 63
8831.623,1,1,LAP 64,LAP 64
8907.856,1,1,LAP 65,LAP 65
8983.761,1,1,LAP 66,LAP 66
9060.041,1,1,LAP 67,LAP 67
9136.102,1,1,LAP 68,LAP 68
9211.679,1,1,LAP 69,LAP 69
9287.896,1,1,LAP 70,LAP 70
8.185,14,2,,
3738.947,14,2,+0.831,+0.831
3741.259,14,3,+0.831,+0.831
3741.634,14,4,+0.831,+0.831
3741.666,14,3,+0.831,+0.831
3741.697,14,3,+0.839,+0.376
3744.916,14,3,+0.865,+0.395
3750.041,14,3,+1.205,+0.606
3753.134,14,3,+1.201,+0.636
3758.29,14,3,+1.285,+0.618
3761.915,14,3,+1.329,+0.684
3767.509,14,3,+1.292,+0.696
3772.025,14,3,+1.437,+0.787
3775.431,14,3,+1.459,+0.816
3778.618,14,3,+1.439,+0.818
3785.165,14,3,+1.460,+0.740
3790.305,14,3,+1.539,+0.769
3793.321,14,3,+1.533,+0.772
3798.274,14,3,+1.508,+0.807
3802.602,14,3,+1.663,+0.780
3805.508,14,3,+1.766,+0.839
3810.618,14,3,+1.812,+0.914
3818.43,14,3,+1.929,+0.932
3821.055,14,3,+1.936,+0.908
3824.195,14,3,+1.906,+0.888
3828.977,14,3,+2.061,+0.916
3832.086,14,3,+2.031,+0.915
3837.148,14,3,+2.115,+0.949
3840.789,14,3,+2.150,+1.062
3846.445,14,3,+2.136,+1.006
3850.867,14,3,+2.315,+1.115
3854.226,14,3,+2.286,+1.165
3857.398,14,3,+2.246,+1.158
3864.007,14,3,+2.378,+1.157
3869.148,14,3,+2.311,+1.049
3872.195,14,3,+2.284,+1.027
3877.07,14,3,+2.254,+1.043
3881.366,14,3,+2.376,+1.053
3884.241,14,3,+2.385,+1.103
3889.21,14,3,+2.336,+1.116
3896.788,14,3,+2.238,+1.029
3899.366,14,3,+2.203,+0.939
3902.522,14,3,+2.175,+0.911
3907.21,14,3,+2.275,+0.896
3910.319,14,3,+2.238,+0.897
3915.35,14,3,+2.306,+1.021
3918.881,14,3,+2.334,+1.075
3924.366,14,3,+2.187,+0.992
3928.647,14,3,+2.209,+1.017
3931.975,14,3,+2.164,+1.006
3935.131,14,3,+2.120,+0.990
3941.865,14,3,+2.310,+1.011
3947.021,14,3,+2.334,+1.064
3950.006,14,3,+2.289,+1.031
3954.709,14,3,+2.078,+0.872
3958.849,14,3,+2.072,+0.810
3961.756,14,3,+2.093,+0.860
3966.709,14,3,+2.007,+0.822
3974.287,14,3,+2.021,+0.876
3976.896,14,3,+2.047,+0.851
3980.005,14,3,+2.026,+0.848
3984.724,14,3,+2.145,+0.946
3987.833,14,3,+2.135,+0.958
3992.817,14,3,+2.251,+1.046
3996.411,14,3,+2.313,+1.157
4001.911,14,3,+2.175,+1.088
4006.208,14,3,+2.258,+1.187
4009.52,14,3,+2.315,+0.947
4012.708,14,3,+2.291,+0.896
4019.27,14,3,+2.368,+0.835
4024.379,14,3,+2.388,+0.825
4027.348,14,3,+2.343,+0.790
4032.067,14,3,+2.113,+0.612
4036.207,14,3,+2.126,+0.646
4039.082,14,3,+2.211,+0.668
4044.004,14,3,+2.130,+0.590
4051.629,14,3,+2.133,+0.672
4054.27,14,3,+2.159,+0.653
4057.41,14,3,+2.139,+0.647
4062.191,14,3,+2.387,+0.773
4065.472,14,3,+2.375,+0.795
4070.285,14,3,+2.529,+0.874
4073.91,14,3,+2.544,+0.895
4079.316,14,3,+2.377,+0.777
4083.66,14,3,+2.418,+0.778
4086.956,14,3,+2.465,+0.792
4090.113,14,3,+2.425,+0.770
4096.644,14,3,+2.465,+0.679
4101.769,14,3,+2.465,+0.618
4104.784,14,3,+2.407,+0.561
4109.394,14,3,+2.152,+0.339
4113.612,14,3,+2.271,+0.339
4116.643,14,3,+2.451,+0.537
4121.581,14,3,+2.353,+0.498
4129.518,14,3,+2.594,+0.714
4132.003,14,3,+2.559,+0.635
4135.127,14,3,+2.520,+0.613
4139.956,14,3,+2.769,+0.691
4143.034,14,3,+2.639,+0.668
4148.049,14,3,+2.695,+0.711
4151.658,14,3,+2.754,+0.733
4157.065,14,3,+2.588,+0.614
4161.502,14,3,+2.799,+0.817
4164.814,14,3,+2.799,+0.804
4167.971,14,3,+2.754,+0.779
4174.471,14,3,+2.717,+0.653
4179.689,14,3,+2.745,+0.634
4182.595,14,3,+2.669,+0.557
4187.252,14,3,+2.375,+0.303
4191.548,14,3,+2.586,+0.434
4194.455,14,3,+2.687,+0.582
4199.408,14,3,+2.566,+0.538
4207.189,14,3,+2.768,+0.591
4209.782,14,3,+2.762,+0.544
4212.923,14,3,+2.747,+0.543
4217.814,14,3,+2.995,+0.693
4220.876,14,3,+2.884,+0.685
4225.97,14,3,+3.043,+0.777
4229.532,14,3,+3.094,+0.787
4234.923,14,3,+2.942,+0.664
4239.407,14,3,+3.173,+0.850
4242.688,14,3,+3.098,+0.800
4245.782,14,3,+3.044,+0.771
4252.547,14,3,+3.230,+0.881
4257.844,14,3,+3.282,+0.889
4260.766,14,3,+3.237,+0.843
4265.485,14,3,+3.012,+0.654
