Time,Driver,Position,GapToLeader,IntervalToPositionAhead
9.856,1,1,,
48.786,1,1,LAP 0,LAP 0
48.817,1,1,LAP 1,LAP 1
3475.013,1,1,LAP 2,LAP 2
3610.73,1,1,LAP 3,LAP 3
3748.242,1,1,LAP 4,LAP 4
3853.781,1,1,LAP 5,LAP 5
3959.71,1,1,LAP 6,LAP 6
4098.235,1,1,LAP 7,LAP 7
4220.666,1,1,LAP 8,LAP 8
4302.545,1,2,LAP 8,LAP 8
4302.731,1,2,+0.041,+0.041
4306.252,1,2,+0.279,+0.279
4312.539,1,2,+0.471,+0.471
4313.811,1,2,+0.476,+0.476
4322.785,1,2,+0.680,+0.680
4325.411,1,2,+0.917,+0.917
4326.566,1,2,+0.992,+0.992
4331.846,1,2,+1.064,+1.064
4335.629,1,2,+1.227,+1.227
4339.158,1,2,+1.231,+1.231
4343.804,1,2,+1.453,+1.453
4350.523,1,2,+1.417,+1.417
4354.507,1,2,+1.422,+1.422
4358.945,1,2,+1.374,+1.374
4360.288,1,2,+1.379,+1.379
4366.476,1,2,+1.894,+1.894
4372.852,1,2,+2.092,+2.092
4378.706,1,2,+2.107,+2.107
4382.745,1,2,+2.064,+2.064
4387.361,1,2,+2.274,+2.274
4389.973,1,2,+2.304,+2.304
4392.457,1,2,+2.289,+2.289
4396.754,1,2,+2.426,+2.426
4402.426,1,2,+2.608,+2.608
4405.035,1,2,+2.618,+2.618
4407.582,1,2,+2.608,+2.608
4409.535,1,2,+2.568,+2.568
4412.912,1,2,+2.545,+2.545
4419.096,1,2,+2.655,+2.655
4420.393,1,2,+2.673,+2.673
4429.284,1,2,+2.755,+2.755
4431.799,1,2,+2.901,+2.901
4432.846,1,2,+2.925,+2.925
4438.159,1,2,+2.943,+2.943
4441.846,1,2,+3.065,+3.065
4445.416,1,2,+3.162,+3.162
4449.866,1,2,+3.233,+3.233
4459.711,1,2,+3.403,+3.403
4460.832,1,2,+3.414,+3.414
4465.279,1,2,+3.396,+3.396
4466.686,1,2,+3.455,+3.455
4472.809,1,2,+3.792,+3.792
4479.279,1,2,+3.994,+3.994
4485.092,1,2,+3.933,+3.933
4489.28,1,2,+3.928,+3.928
4494.264,1,2,+4.281,+4.281
4496.874,1,2,+4.311,+4.311
4499.358,1,2,+4.263,+4.263
4503.75,1,2,+4.212,+4.212
4509.286,1,2,+4.254,+4.254
4511.876,1,2,+4.244,+4.244
4514.334,1,2,+4.222,+4.222
4516.351,1,2,+4.197,+4.197
4519.641,1,2,+4.081,+4.081
4525.641,1,2,+4.215,+4.215
4526.938,1,2,+4.249,+4.249
4535.734,1,2,+4.302,+4.302
4538.203,1,2,+4.417,+4.417
4539.297,1,2,+4.467,+4.467
4544.641,1,2,+4.588,+4.588
4548.783,1,2,+5.091,+5.091
4552.405,1,2,+5.300,+5.300
4556.918,1,2,+5.358,+5.358
4563.486,1,2,+5.306,+5.306
4567.691,1,2,+5.383,+5.383
4572.146,1,2,+5.386,+5.386
4573.849,1,2,+5.382,+5.382
4580.63,1,2,+5.397,+5.397
4587.562,1,2,+5.476,+5.476
4593.484,1,2,+5.447,+5.447
4597.749,1,2,+5.434,+5.434
4603.265,1,2,+5.803,+5.803
4605.968,1,2,+5.872,+5.872
4608.593,1,2,+5.922,+5.922
4613.68,1,2,+6.186,+6.186
4620.593,1,3,+6.186,+6.186
4621.213,1,3,+7.657,+0.584
4624.243,1,3,+8.074,+0.988
4626.862,1,3,+8.184,+1.090
4628.847,1,3,+8.214,+1.118
4632.503,1,3,+8.387,+1.358
4638.521,1,3,+8.633,+1.430
4671.887,1,2,+8.633,+1.430
4677.359,1,3,+8.633,+1.430
4678.013,1,3,+7.868,+0.568
4682.0,1,3,+7.984,+0.719
4686.703,1,3,+8.156,+0.606
4693.61,1,3,+8.278,+0.248
4697.922,1,3,+8.525,+0.417
4702.422,1,3,+8.516,+0.401
4704.016,1,3,+8.622,+0.436
4710.297,1,3,+8.790,+0.278
4716.75,1,2,+8.790,+0.278
4716.829,1,2,+9.085,+9.085
4722.641,1,2,+9.128,+9.128
4726.844,1,2,+9.183,+9.183
4732.135,1,2,+9.663,+9.663
4734.788,1,2,+9.698,+9.698
4737.382,1,2,+9.714,+9.714
4741.956,1,2,+9.966,+9.966
4747.567,1,2,+10.090,+10.090
4750.145,1,2,+10.101,+10.101
4752.627,1,2,+10.096,+10.096
4754.644,1,2,+10.071,+10.071
4757.894,1,2,+9.904,+9.904
4763.582,1,2,+9.924,+9.924
4764.894,1,2,+9.920,+9.920
4773.224,1,2,+9.765,+9.765
4775.648,1,2,+9.761,+9.761
4776.676,1,2,+9.791,+9.791
4782.715,1,2,+9.943,+9.943
4786.659,1,2,+10.477,+10.477
4790.348,1,2,+10.560,+10.560
4794.921,1,2,+10.594,+10.594
4801.621,1,2,+10.595,+10.595
4805.683,1,2,+10.638,+10.638
