Time,Driver,Position,GapToLeader,IntervalToPositionAhead
4.672,16,1,,
5.74,16,1,LAP 1,LAP 1
2022.192,16,2,LAP 1,LAP 1
2022.262,16,2,+0.039,+0.039
2028.427,16,2,+0.233,+0.233
2032.479,16,2,+0.198,+0.198
2037.682,16,2,+0.200,+0.200
2042.098,16,2,+0.456,+0.456
2045.089,16,2,+0.447,+0.447
2050.199,16,2,+0.742,+0.742
2053.165,16,2,+0.761,+0.761
2058.026,16,2,+0.842,+0.842
2063.492,16,2,+0.921,+0.921
2066.616,16,2,+0.968,+0.968
2070.557,16,2,+1.167,+1.167
2079.112,16,2,+1.548,+1.548
2087.225,16,2,+1.353,+1.353
2094.352,16,2,+1.000,+1.000
2098.589,16,2,+1.381,+1.381
2102.768,16,2,+1.191,+1.191
2110.436,16,2,+0.843,+0.843
2115.357,16,2,+1.281,+1.281
2122.24,16,2,+1.491,+1.491
2125.852,16,2,+1.584,+1.584
2130.686,16,2,+1.598,+1.598
2134.53,16,2,+1.599,+1.599
2139.574,16,2,+1.165,+1.165
2142.313,16,2,+0.891,+0.891
2146.614,16,2,+0.976,+0.976
2152.375,16,2,+0.911,+0.911
2161.378,16,2,+0.919,+0.919
2169.534,16,2,+0.818,+0.818
2182.817,16,2,+0.733,+0.733
2191.924,16,2,+1.212,+1.212
2197.388,16,2,+1.727,+1.727
2205.129,16,2,+1.704,+1.704
2212.294,16,2,+3.690,+3.690
2217.834,16,2,+2.132,+2.132
2224.867,16,2,+1.600,+1.600
2228.333,16,2,+1.176,+1.176
2232.115,16,2,+1.443,+1.443
2237.167,16,2,+0.922,+0.922
2243.492,16,2,+0.729,+0.729
2251.367,16,2,+0.700,+0.700
2256.602,16,2,+1.046,+1.046
2261.112,16,2,+0.835,+0.835
2269.846,16,2,+0.921,+0.921
2274.862,16,2,+0.804,+0.804
2282.453,16,2,+0.992,+0.992
2286.089,16,2,+1.003,+1.003
2291.603,16,2,+0.975,+0.975
2296.055,16,2,+1.273,+1.273
2302.613,16,2,+0.837,+0.837
2306.112,16,2,+0.596,+0.596
2311.512,16,2,+0.460,+0.460
2318.296,16,2,+0.617,+0.617
2325.126,16,2,+0.625,+0.625
2331.498,16,2,+1.038,+1.038
2341.371,16,2,+1.011,+1.011
2349.045,16,2,+1.318,+1.318
2353.566,16,2,+0.774,+0.774
2360.447,16,2,+0.975,+0.975
2365.315,16,2,+0.997,+0.997
2372.523,16,2,+0.865,+0.865
2381.127,16,2,+0.643,+0.643
2385.645,16,2,+0.778,+0.778
2388.183,16,2,+1.148,+1.148
2394.591,16,2,+1.076,+1.076
2402.884,16,2,+3.211,+3.211
2409.351,16,2,+0.857,+0.857
2416.348,16,2,+0.704,+0.704
2421.896,16,2,+0.761,+0.761
2434.779,16,2,+0.582,+0.582
2443.193,16,2,+0.580,+0.580
2448.528,16,2,+0.623,+0.623
2450.744,16,2,+0.533,+0.533
2455.879,16,2,+0.768,+0.768
2458.88,16,2,+0.888,+0.888
2465.41,16,2,+0.900,+0.900
2469.543,16,2,+0.871,+0.871
2474.153,16,2,+0.812,+0.812
2477.277,16,2,+0.732,+0.732
2483.051,16,2,+0.784,+0.784
2485.893,16,2,+0.756,+0.756
2488.735,16,2,+0.697,+0.697
2491.325,16,2,+0.745,+0.745
2494.369,16,2,+0.753,+0.753
2499.3,16,2,+0.891,+0.891
2501.9,16,2,+0.940,+0.940
2506.799,16,2,+1.022,+1.022
2512.138,16,2,+1.011,+1.011
2514.355,16,2,+1.023,+1.023
2516.589,16,2,+0.988,+0.988
2520.46,16,2,+0.968,+0.968
2524.199,16,2,+0.937,+0.937
2529.814,16,2,+0.860,+0.860
2532.315,16,2,+0.850,+0.850
2535.356,16,2,+0.876,+0.876
2540.782,16,2,+0.998,+0.998
2544.291,16,2,+0.933,+0.933
2548.768,16,2,+1.117,+1.117
2551.17,16,2,+1.113,+1.113
2555.014,16,2,+1.125,+1.125
2558.597,16,2,+1.159,+1.159
2563.108,16,2,+1.168,+1.168
2565.951,16,2,+1.149,+1.149
2569.223,16,2,+1.097,+1.097
2572.58,16,2,+1.008,+1.008
2577.613,16,2,+1.039,+1.039
2581.673,16,2,+1.038,+1.038
2586.641,16,2,+0.993,+0.993
2590.814,16,2,+0.994,+0.994
2593.702,16,2,+1.011,+1.011
2598.966,16,2,+1.095,+1.095
2601.798,16,2,+1.145,+1.145
2606.581,16,2,+1.161,+1.161
2611.814,16,2,+1.128,+1.128
2614.047,16,2,+1.147,+1.147
2616.334,16,2,+1.083,+1.083
2619.967,16,2,+1.102,+1.102
2623.93,16,2,+1.058,+1.058
2628.762,16,2,+0.965,+0.965
2631.009,16,2,+0.959,+0.959
2634.356,16,2,+0.986,+0.986
2639.597,16,2,+1.140,+1.140
2643.656,16,2,+1.036,+1.036
2648.958,16,2,+1.226,+1.226
2650.899,16,2,+1.239,+1.239
2654.815,16,2,+1.304,+1.304
2658.358,16,2,+1.350,+1.350
2662.359,16,2,+1.371,+1.371
2665.281,16,2,+1.353,+1.353
2668.011,16,2,+1.306,+1.306
2671.961,16,2,+1.225,+1.225
2677.396,16,2,+1.210,+1.210
2681.583,16,2,+1.222,+1.222
2686.505,16,2,+1.163,+1.163
2690.668,16,2,+1.213,+1.213
2694.01,16,2,+1.234,+1.234
2698.884,16,2,+1.339,+1.339
2701.558,16,2,+1.337,+1.337
2706.498,16,2,+1.344,+1.344
2714.042,16,2,+1.347,+1.347
2716.087,16,2,+1.328,+1.328
2719.619,16,2,+1.342,+1.342
2723.999,16,2,+1.313,+1.313
2727.867,16,2,+1.236,+1.236
2730.455,16,2,+1.222,+1.222
2734.014,16,2,+1.215,+1.215
2739.89,16,2,+1.348,+1.348
2742.87,16,2,+1.247,+1.247
2748.037,16,2,+1.358,+1.358
2750.465,16,2,+1.366,+1.366
2754.222,16,2,+1.346,+1.346
2757.45,16,2,+1.376,+1.376
2761.911,16,2,+1.411,+1.411
2764.262,16,2,+1.402,+1.402
2767.387,16,2,+1.364,+1.364
2771.312,16,2,+1.277,+1.277
2776.834,16,2,+1.294,+1.294
2781.292,16,2,+1.312,+1.312
2785.774,16,2,+1.249,+1.249
2790.14,16,2,+1.242,+1.242
2792.708,16,2,+1.244,+1.244
2797.886,16,2,+1.352,+1.352
2800.861,16,2,+1.389,+1.389
2805.572,16,2,+1.330,+1.330
2810.876,16,2,+1.332,+1.332
2813.05,16,2,+1.343,+1.343
2815.27,16,2,+1.294,+1.294
2819.346,16,2,+1.370,+1.370
2822.877,16,2,+1.328,+1.328
2827.573,16,2,+1.194,+1.194
2829.908,16,2,+1.129,+1.129
2832.822,16,2,+1.054,+1.054
2838.299,16,2,+1.168,+1.168
2842.116,16,2,+1.064,+1.064
2847.395,16,2,+1.331,+1.331
2850.079,16,2,+1.346,+1.346
2853.626,16,2,+1.322,+1.322
2856.895,16,2,+1.372,+1.372
2861.101,16,2,+1.392,+1.392
2863.568,16,2,+1.369,+1.369
2866.762,16,2,+1.319,+1.319
2870.38,16,2,+1.233,+1.233
2876.132,16,2,+1.354,+1.354
2880.576,16,2,+1.391,+1.391
2885.293,16,2,+1.348,+1.348
2889.599,16,2,+1.347,+1.347
2897.332,16,2,+1.445,+1.445
2900.379,16,2,+1.483,+1.483
2905.12,16,2,+1.486,+1.486
2910.351,16,2,+1.547,+1.547
2912.555,16,2,+1.552,+1.552
2914.874,16,2,+1.530,+1.530
2918.37,16,2,+1.528,+1.528
2922.414,16,2,+1.507,+1.507
2926.811,16,2,+1.439,+1.439
2929.31,16,2,+1.408,+1.408
2932.451,16,2,+1.366,+1.366
2937.905,16,2,+1.451,+1.451
2941.896,16,2,+1.321,+1.321
2947.077,16,2,+1.579,+1.579
2949.386,16,2,+1.601,+1.601
2953.074,16,2,+1.623,+1.623
2956.356,16,2,+1.686,+1.686
2960.679,16,2,+1.705,+1.705
2963.109,16,2,+1.693,+1.693
2966.347,16,2,+1.657,+1.657
2970.059,16,2,+1.585,+1.585
2975.694,16,2,+1.636,+1.636
2979.733,16,2,+1.646,+1.646
2984.601,16,2,+1.589,+1.589
2989.162,16,2,+1.546,+1.546
2991.482,16,2,+1.572,+1.572
2996.697,16,2,+1.669,+1.669
2999.782,16,2,+1.702,+1.702
3004.526,16,2,+1.707,+1.707
3009.706,16,2,+1.826,+1.826
3011.948,16,2,+1.840,+1.840
3014.234,16,2,+1.815,+1.815
