Time,Driver,Position,GapToLeader,IntervalToPositionAhead
4.16,77,1,,
5.235,77,1,LAP 1,LAP 1
2128.59,77,1,LAP 2,LAP 2
2236.629,77,1,LAP 3,LAP 3
2343.927,77,1,LAP 4,LAP 4
2451.5,77,1,LAP 5,LAP 5
2559.408,77,1,LAP 6,LAP 6
2667.0,77,1,LAP 7,LAP 7
2775.139,77,1,LAP 8,LAP 8
2883.966,77,1,LAP 9,LAP 9
2992.728,77,1,LAP 10,LAP 10
3101.844,77,1,LAP 11,LAP 11
3211.49,77,1,LAP 12,LAP 12
3325.738,77,2,LAP 12,LAP 12
3334.887,77,3,LAP 12,LAP 12
3339.957,77,4,LAP 12,LAP 12
3351.325,77,4,+16.072,+5.792
3356.239,77,4,+16.487,+6.338
3362.289,77,4,+16.488,+6.329
3367.216,77,4,+16.382,+6.266
3372.092,77,4,+16.387,+6.340
3376.953,77,4,+16.506,+6.403
3380.708,77,4,+16.560,+6.467
3386.578,77,4,+16.494,+6.318
3390.975,77,4,+16.502,+6.337
3397.095,77,4,+16.520,+6.439
3401.219,77,4,+16.432,+6.620
3407.126,77,4,+16.333,+6.551
3411.487,77,4,+16.249,+6.471
3414.477,77,4,+16.238,+6.503
3417.172,77,4,+16.152,+6.532
3420.637,77,4,+16.029,+6.531
3424.443,77,4,+16.032,+6.559
3429.081,77,4,+15.904,+6.395
3433.534,77,4,+15.834,+6.329
3436.569,77,4,+15.789,+6.296
3440.586,77,4,+12.964,+6.276
3442.335,77,4,+12.967,+6.260
3448.864,77,4,+13.031,+6.266
3451.209,77,4,+13.101,+6.326
3455.23,77,3,+13.101,+6.326
3455.321,77,3,+13.139,+6.280
3460.561,77,3,+13.207,+6.111
3465.434,77,3,+13.257,+6.008
3471.201,77,3,+13.238,+5.881
3476.094,77,3,+13.304,+5.879
3480.837,77,3,+13.425,+5.820
3485.732,77,3,+13.437,+5.815
3488.916,77,3,+13.473,+5.825
3495.171,77,3,+13.491,+5.697
3498.635,77,3,+13.522,+5.697
3505.542,77,3,+13.453,+5.601
3509.495,77,3,+13.599,+5.698
3515.276,77,3,+13.593,+5.580
3519.65,77,3,+13.598,+5.515
3522.7,77,3,+13.631,+5.515
3525.739,77,3,+13.606,+5.499
3528.417,77,3,+13.549,+5.479
3532.558,77,3,+13.574,+5.467
3537.203,77,3,+13.476,+5.257
3541.496,77,3,+13.483,+5.188
3544.744,77,3,+13.483,+5.183
3548.274,77,3,+13.461,+5.177
3550.882,77,3,+13.437,+5.162
3557.038,77,3,+13.389,+4.315
3558.989,77,3,+13.443,+0.713
3563.243,77,2,+13.443,+0.713
3563.311,77,2,+13.389,+13.389
3568.497,77,2,+13.459,+13.459
3573.077,77,2,+13.442,+13.442
3578.983,77,2,+13.443,+13.443
3583.952,77,2,+13.530,+13.530
3588.846,77,2,+13.603,+13.603
3593.413,77,2,+13.601,+13.601
3596.792,77,2,+13.636,+13.636
3602.721,77,2,+13.553,+13.553
3606.721,77,2,+13.602,+13.602
3612.987,77,2,+13.616,+13.616
3617.161,77,2,+13.719,+13.719
3622.758,77,2,+13.596,+13.596
3627.146,77,2,+13.577,+13.577
3630.152,77,2,+13.612,+13.612
3632.914,77,2,+13.585,+13.585
3636.088,77,2,+13.522,+13.522
3640.034,77,2,+13.568,+13.568
3644.761,77,2,+13.436,+13.436
3648.85,77,2,+13.430,+13.430
3652.041,77,2,+13.428,+13.428
3655.885,77,2,+13.412,+13.412
3657.824,77,2,+13.398,+13.398
3664.318,77,2,+13.401,+13.401
3666.458,77,2,+13.460,+13.460
3671.082,77,2,+13.387,+13.387
3676.157,77,2,+13.359,+13.359
3680.476,77,2,+13.339,+13.339
3686.512,77,2,+13.315,+13.315
3691.391,77,2,+13.332,+13.332
3696.197,77,2,+13.344,+13.344
3700.555,77,2,+13.215,+13.215
3703.791,77,2,+13.249,+13.249
3709.83,77,2,+13.075,+13.075
3713.41,77,2,+13.079,+13.079
3719.925,77,2,+12.986,+12.986
3723.908,77,2,+13.034,+13.034
3729.512,77,2,+12.784,+12.784
3733.967,77,2,+12.757,+12.757
3737.062,77,2,+12.790,+12.790
3739.545,77,2,+12.731,+12.731
3742.436,77,2,+12.594,+12.594
3746.701,77,2,+12.610,+12.610
3751.51,77,2,+12.423,+12.423
3755.388,77,2,+12.428,+12.428
3758.612,77,2,+12.424,+12.424
3762.052,77,2,+12.412,+12.412
3764.311,77,2,+12.405,+12.405
3770.802,77,2,+12.386,+12.386
3773.049,77,2,+12.416,+12.416
3777.124,77,2,+12.328,+12.328
3786.734,77,2,+12.188,+12.188
3792.63,77,2,+12.192,+12.192
3797.454,77,2,+12.206,+12.206
3802.117,77,2,+12.270,+12.270
3807.009,77,2,+12.213,+12.213
3810.115,77,2,+12.246,+12.246
3815.926,77,2,+12.029,+12.029
3819.408,77,2,+12.025,+12.025
3826.055,77,2,+11.842,+11.842
3830.032,77,2,+11.785,+11.785
3835.536,77,2,+11.508,+11.508
3840.027,77,2,+11.460,+11.460
3842.926,77,2,+11.476,+11.476
3845.552,77,2,+11.454,+11.454
3848.496,77,2,+11.344,+11.344
3852.646,77,2,+11.326,+11.326
3857.342,77,2,+11.108,+11.108
3861.62,77,2,+11.119,+11.119
3864.649,77,2,+11.113,+11.113
3868.183,77,2,+11.091,+11.091
3870.402,77,2,+11.072,+11.072
3877.036,77,2,+11.030,+11.030
3878.896,77,2,+11.067,+11.067
3883.29,77,2,+11.042,+11.042
3888.417,77,2,+10.981,+10.981
3892.916,77,2,+10.897,+10.897
3898.834,77,2,+10.899,+10.899
3903.907,77,2,+10.984,+10.984
3908.307,77,2,+10.926,+10.926
3913.078,77,2,+10.941,+10.941
3916.308,77,2,+10.954,+10.954
3922.424,77,2,+10.871,+10.871
3925.975,77,2,+10.877,+10.877
3932.567,77,2,+10.833,+10.833
3936.982,77,2,+10.958,+10.958
3942.297,77,2,+10.825,+10.825
3947.137,77,2,+10.816,+10.816
3949.592,77,2,+10.848,+10.848
3952.243,77,2,+10.847,+10.847
3955.359,77,2,+10.747,+10.747
3959.311,77,2,+10.757,+10.757
3964.033,77,2,+10.623,+10.623
3968.186,77,2,+10.670,+10.670
3971.375,77,2,+10.678,+10.678
3975.063,77,2,+10.666,+10.666
3977.359,77,2,+10.652,+10.652
3983.665,77,2,+10.614,+10.614
3985.613,77,2,+10.651,+10.651
3990.002,77,2,+10.625,+10.625
3995.157,77,2,+10.545,+10.545
3999.535,77,2,+10.348,+10.348
4005.409,77,2,+10.335,+10.335
4010.237,77,2,+10.392,+10.392
4015.045,77,2,+10.417,+10.417
4019.644,77,2,+10.391,+10.391
4022.892,77,2,+10.407,+10.407
4028.948,77,2,+10.288,+10.288
4032.684,77,2,+10.299,+10.299
4039.104,77,2,+10.192,+10.192
4043.322,77,2,+10.262,+10.262
4048.771,77,2,+10.178,+10.178
4053.084,77,2,+10.157,+10.157
4056.121,77,2,+10.180,+10.180
4058.754,77,2,+10.169,+10.169
4061.677,77,2,+10.096,+10.096
4065.858,77,2,+10.135,+10.135
4070.337,77,2,+9.938,+9.938
4074.636,77,2,+9.921,+9.921
4077.789,77,2,+9.920,+9.920
4081.288,77,2,+9.916,+9.916
4083.555,77,2,+9.903,+9.903
4090.076,77,2,+9.863,+9.863
4092.58,77,2,+9.904,+9.904
4096.305,77,2,+9.820,+9.820
4101.384,77,2,+9.798,+9.798
4105.784,77,2,+9.558,+9.558
4111.666,77,2,+9.538,+9.538
4116.479,77,2,+9.553,+9.553
4121.089,77,2,+9.527,+9.527
4125.698,77,2,+9.420,+9.420
4129.064,77,2,+9.439,+9.439
4135.079,77,2,+9.221,+9.221
4138.418,77,2,+9.181,+9.181
4145.243,77,2,+9.328,+9.328
4149.305,77,2,+9.369,+9.369
4154.752,77,2,+9.101,+9.101
4159.222,77,2,+9.053,+9.053
4162.077,77,2,+9.075,+9.075
4164.685,77,2,+9.051,+9.051
4167.986,77,2,+8.902,+8.902
4171.67,77,2,+8.879,+8.879
4176.161,77,2,+8.636,+8.636
4180.478,77,2,+8.632,+8.632
4183.673,77,2,+8.629,+8.629
4187.094,77,2,+8.614,+8.614
4189.914,77,2,+8.600,+8.600
4195.835,77,2,+8.569,+8.569
4198.021,77,2,+8.605,+8.605
4202.033,77,2,+8.499,+8.499
4207.225,77,2,+8.403,+8.403
4211.563,77,2,+8.217,+8.217
4217.953,77,2,+8.195,+8.195
4222.255,77,2,+8.124,+8.124
4226.959,77,2,+8.227,+8.227
4231.6,77,2,+8.126,+8.126
4234.877,77,2,+8.139,+8.139
4240.691,77,2,+7.905,+7.905
4244.323,77,2,+7.902,+7.902
4250.974,77,2,+8.001,+8.001
4255.147,77,2,+8.058,+8.058
4260.459,77,2,+7.820,+7.820
4264.825,77,2,+7.780,+7.780
4268.044,77,2,+7.797,+7.797
4270.466,77,2,+7.776,+7.776
4273.504,77,2,+7.636,+7.636
4277.463,77,2,+7.646,+7.646
4282.094,77,2,+7.463,+7.463
4286.421,77,2,+7.451,+7.451
4289.568,77,2,+7.450,+7.450
4293.274,77,2,+7.429,+7.429
4295.164,77,2,+7.410,+7.410
4301.587,77,2,+7.367,+7.367
4303.664,77,2,+7.397,+7.397
4308.155,77,2,+7.364,+7.364
4313.476,77,2,+7.214,+7.214
4317.447,77,2,+7.077,+7.077
4323.469,77,2,+7.051,+7.051
4328.639,77,2,+7.048,+7.048
4333.35,77,2,+7.050,+7.050
4337.42,77,2,+6.912,+6.912
4340.59,77,2,+6.897,+6.897
4346.581,77,2,+6.707,+6.707
4350.072,77,2,+6.673,+6.673
4356.701,77,2,+6.716,+6.716
4360.904,77,2,+6.699,+6.699
4366.35,77,2,+6.436,+6.436
4370.702,77,2,+6.408,+6.408
4373.736,77,2,+6.423,+6.423
4376.362,77,2,+6.396,+6.396
4379.352,77,2,+6.269,+6.269
4383.549,77,2,+6.292,+6.292
4388.449,77,2,+6.092,+6.092
4392.266,77,2,+6.074,+6.074
4395.468,77,2,+6.067,+6.067
4398.891,77,2,+6.045,+6.045
4401.146,77,2,+6.027,+6.027
4407.552,77,2,+5.989,+5.989
4409.633,77,2,+6.022,+6.022
4413.829,77,2,+5.955,+5.955
4418.941,77,2,+5.604,+5.604
4423.592,77,2,+5.387,+5.387
4429.352,77,2,+5.347,+5.347
4434.371,77,2,+5.380,+5.380
4438.878,77,2,+5.430,+5.430
4446.802,77,2,+5.446,+5.446
4452.86,77,2,+5.272,+5.272
4456.271,77,2,+5.248,+5.248
4462.95,77,2,+5.204,+5.204
4466.821,77,2,+5.138,+5.138
4472.382,77,2,+4.901,+4.901
4476.777,77,2,+4.873,+4.873
4479.784,77,2,+4.893,+4.893
4482.558,77,2,+4.896,+4.896
4485.273,77,2,+4.806,+4.806
4489.613,77,2,+4.823,+4.823
4494.244,77,2,+4.575,+4.575
4501.4,77,2,+4.579,+4.579
4504.916,77,2,+4.564,+4.564
4506.998,77,2,+4.551,+4.551
4513.818,77,2,+4.527,+4.527
4515.454,77,2,+4.570,+4.570
4520.036,77,2,+4.543,+4.543
4524.911,77,2,+4.476,+4.476
4529.565,77,2,+4.358,+4.358
4540.214,77,2,+4.399,+4.399
4544.821,77,2,+4.442,+4.442
4549.792,77,2,+4.432,+4.432
4552.857,77,2,+4.469,+4.469
4559.194,77,2,+4.347,+4.347
4562.357,77,2,+4.362,+4.362
4569.168,77,2,+4.319,+4.319
4573.033,77,2,+4.248,+4.248
4579.228,77,2,+3.997,+3.997
4583.064,77,2,+3.974,+3.974
4586.028,77,2,+3.993,+3.993
4589.058,77,2,+3.948,+3.948
4591.469,77,2,+3.733,+3.733
4595.639,77,2,+3.728,+3.728
4600.2,77,2,+3.433,+3.433
4604.401,77,2,+3.429,+3.429
4607.625,77,2,+3.442,+3.442
4610.986,77,2,+3.448,+3.448
4613.205,77,2,+3.460,+3.460
4619.756,77,2,+3.543,+3.543
4621.777,77,2,+3.652,+3.652
4626.172,77,2,+3.706,+3.706
4631.002,77,2,+3.652,+3.652
4635.518,77,2,+3.550,+3.550
4641.41,77,2,+3.492,+3.492
4646.349,77,2,+3.608,+3.608
4651.036,77,2,+3.623,+3.623
4655.755,77,2,+3.702,+3.702
4659.181,77,2,+3.730,+3.730
4665.165,77,2,+3.672,+3.672
4668.605,77,2,+3.663,+3.663
4675.216,77,2,+3.724,+3.724
4679.47,77,2,+3.708,+3.708
4685.014,77,2,+3.469,+3.469
4689.563,77,2,+3.424,+3.424
4692.132,77,2,+3.428,+3.428
4695.322,77,2,+3.443,+3.443
4701.853,77,2,+3.420,+3.420
4706.451,77,2,+3.263,+3.263
4710.667,77,2,+3.268,+3.268
4713.808,77,2,+3.257,+3.257
4717.262,77,2,+3.219,+3.219
4719.755,77,2,+3.187,+3.187
4725.88,77,2,+3.104,+3.104
4727.919,77,2,+3.134,+3.134
4732.252,77,2,+3.174,+3.174
4737.355,77,2,+3.148,+3.148
4742.071,77,2,+3.061,+3.061
4747.714,77,2,+3.060,+3.060
4752.573,77,2,+3.082,+3.082
4757.2,77,2,+3.134,+3.134
4761.893,77,2,+3.158,+3.158
4765.264,77,2,+3.191,+3.191
4771.215,77,2,+3.206,+3.206
4775.031,77,2,+3.224,+3.224
4781.469,77,2,+3.360,+3.360
4785.522,77,2,+3.460,+3.460
4791.17,77,2,+3.235,+3.235
4795.5,77,2,+3.208,+3.208
4798.502,77,2,+3.219,+3.219
4801.513,77,2,+3.259,+3.259
4804.125,77,2,+3.225,+3.225
4808.312,77,2,+3.283,+3.283
4812.922,77,2,+3.198,+3.198
4817.189,77,2,+3.195,+3.195
4820.58,77,2,+3.192,+3.192
4823.751,77,2,+3.175,+3.175
4825.955,77,2,+3.157,+3.157
4832.345,77,2,+3.114,+3.114
4834.828,77,2,+3.146,+3.146
4838.597,77,2,+3.081,+3.081
4843.755,77,2,+3.080,+3.080
4848.159,77,2,+2.963,+2.963
4854.163,77,2,+2.944,+2.944
4858.972,77,2,+2.977,+2.977
4863.473,77,2,+2.982,+2.982
4868.183,77,2,+3.001,+3.001
4871.348,77,2,+3.036,+3.036
4877.519,77,2,+2.974,+2.974
4881.183,77,2,+2.939,+2.939
