Time,Driver,Position,GapToLeader,IntervalToPositionAhead
5.699,44,1,LAP 1,LAP 1
3862.564,44,1,LAP 2,LAP 2
3952.839,44,1,LAP 3,LAP 3
4043.389,44,1,LAP 4,LAP 4
4132.158,44,1,LAP 5,LAP 5
4220.985,44,1,LAP 6,LAP 6
4309.321,44,1,LAP 7,LAP 7
4397.473,44,1,LAP 8,LAP 8
4485.86,44,1,LAP 9,LAP 9
4574.018,44,1,LAP 10,LAP 10
4661.907,44,1,LAP 11,LAP 11
4749.954,44,1,LAP 12,LAP 12
4837.932,44,1,LAP 13,LAP 13
4925.874,44,1,LAP 14,LAP 14
5013.82,44,1,LAP 15,LAP 15
5101.641,44,1,LAP 16,LAP 16
5189.215,44,1,LAP 17,LAP 17
5276.741,44,1,LAP 18,LAP 18
5384.153,44,1,LAP 19,LAP 19
5478.309,44,1,LAP 20,LAP 20
5565.823,44,1,LAP 21,LAP 21
5653.567,44,1,LAP 22,LAP 22
5740.721,44,1,LAP 23,LAP 23
5828.121,44,1,LAP 24,LAP 24
5916.034,44,1,LAP 25,LAP 25
6002.986,44,1,LAP 26,LAP 26
6090.01,44,1,LAP 27,LAP 27
6177.552,44,1,LAP 28,LAP 28
6265.03,44,1,LAP 29,LAP 29
6351.901,44,1,LAP 30,LAP 30
6439.006,44,1,LAP 31,LAP 31
6526.773,44,1,LAP 32,LAP 32
6613.816,44,1,LAP 33,LAP 33
6700.316,44,1,LAP 34,LAP 34
6787.279,44,1,LAP 35,LAP 35
6873.844,44,1,LAP 36,LAP 36
6960.509,44,1,LAP 37,LAP 37
7047.008,44,1,LAP 38,LAP 38
7133.929,44,1,LAP 39,LAP 39
7220.646,44,1,LAP 40,LAP 40
7307.536,44,1,LAP 41,LAP 41
7394.155,44,1,LAP 42,LAP 42
7501.014,44,1,LAP 43,LAP 43
7593.067,44,1,LAP 44,LAP 44
7679.414,44,1,LAP 45,LAP 45
7764.737,44,1,LAP 46,LAP 46
7850.772,44,1,LAP 47,LAP 47
7936.685,44,1,LAP 48,LAP 48
8022.696,44,1,LAP 49,LAP 49
8109.286,44,1,LAP 50,LAP 50
8194.246,44,1,LAP 51,LAP 51
8280.305,44,1,LAP 52,LAP 52
8365.877,44,1,LAP 53,LAP 53
8451.861,44,1,LAP 54,LAP 54
8538.213,44,1,LAP 55,LAP 55
8635.154,44,1,LAP 56,LAP 56
8744.861,44,1,LAP 57,LAP 57
5.699,10,2,,
3775.504,10,2,+0.097,+0.097
3777.833,10,2,+0.030,+0.030
3783.584,10,2,+0.332,+0.332
3789.52,10,3,+0.332,+0.332
3789.561,10,3,+0.692,+0.025
3793.158,10,3,+0.833,+0.107
3796.627,10,3,+0.856,+0.073
3804.336,10,3,+1.618,+0.486
3811.315,10,3,+1.970,+0.576
3814.453,10,3,+2.013,+0.415
3819.319,10,3,+2.417,+0.613
3822.232,10,3,+2.436,+0.590
3825.609,10,3,+2.406,+0.500
3832.035,10,3,+2.555,+0.659
3834.613,10,3,+2.515,+0.588
3838.851,10,3,+2.351,+0.492
3841.902,10,3,+2.301,+0.521
3845.961,10,3,+2.383,+0.652
3848.703,10,3,+2.529,+0.821
3851.632,10,3,+2.588,+0.886
3853.58,10,3,+2.682,+0.913
3858.449,10,3,+2.869,+1.036
3861.479,10,3,+2.887,+1.036
3865.405,10,3,+2.843,+0.990
3867.874,10,3,+2.796,+0.951
3869.797,10,3,+2.746,+0.892
3875.242,10,3,+2.993,+0.875
3880.744,10,3,+3.209,+1.055
3884.232,10,3,+3.271,+1.091
3887.651,10,3,+3.263,+1.033
3894.871,10,3,+3.359,+0.874
3901.866,10,3,+3.513,+0.811
3905.009,10,3,+3.479,+0.719
3909.843,10,3,+3.543,+0.843
3912.707,10,3,+3.441,+0.785
3916.125,10,3,+3.262,+0.630
3922.561,10,3,+3.418,+0.797
3925.163,10,3,+3.374,+0.734
3929.364,10,3,+3.042,+0.539
3932.392,10,3,+2.887,+0.436
3936.512,10,3,+2.904,+0.574
3939.207,10,3,+2.961,+0.735
3942.124,10,3,+2.993,+0.785
3944.028,10,3,+3.011,+0.826
3948.933,10,3,+3.161,+0.957
3951.954,10,3,+3.160,+0.936
3955.868,10,3,+3.102,+0.874
3958.328,10,3,+3.049,+0.831
3960.222,10,3,+2.979,+0.795
3965.694,10,3,+3.006,+0.887
3971.268,10,3,+3.138,+1.033
3974.736,10,3,+3.184,+1.061
3978.145,10,3,+3.135,+1.003
3985.389,10,3,+3.146,+0.775
3992.256,10,3,+3.306,+0.775
3995.456,10,3,+3.262,+0.728
4000.25,10,3,+3.344,+0.843
4003.165,10,3,+3.304,+0.791
4006.537,10,3,+3.239,+0.651
4012.876,10,3,+3.417,+0.783
4015.522,10,3,+3.369,+0.728
4019.67,10,3,+2.926,+0.498
4022.772,10,3,+2.725,+0.416
4026.85,10,3,+2.749,+0.577
4029.565,10,3,+2.717,+0.709
4032.419,10,3,+2.721,+0.747
4034.314,10,3,+2.682,+0.715
4039.611,10,3,+3.232,+1.207
4042.745,10,3,+3.411,+1.363
4046.809,10,4,+3.411,+1.363
4046.866,10,4,+3.413,+0.002
4049.203,10,4,+3.372,+0.097
4051.216,10,4,+3.376,+0.220
4057.07,10,4,+4.117,+0.894
4062.814,10,4,+4.560,+1.184
4066.326,10,4,+4.651,+1.210
4069.692,10,4,+4.646,+1.203
4077.123,10,4,+4.973,+1.551
4084.015,10,4,+5.169,+1.509
4087.148,10,4,+5.158,+1.490
4092.03,10,4,+5.463,+1.555
4094.918,10,4,+5.466,+1.531
4098.385,10,4,+5.547,+1.587
4104.715,10,4,+5.763,+1.565
4107.388,10,4,+5.730,+1.560
4111.604,10,4,+5.559,+1.521
4114.588,10,4,+5.480,+1.422
4118.593,10,4,+5.481,+1.208
4121.267,10,4,+5.579,+1.249
4124.219,10,4,+5.645,+1.301
4126.132,10,4,+5.694,+1.326
4131.126,10,4,+5.915,+1.280
4134.08,10,4,+5.930,+1.288
4138.008,10,4,+5.866,+1.426
4140.438,10,4,+5.802,+1.533
4142.33,10,4,+5.735,+1.363
4147.829,10,4,+6.076,+1.250
4153.382,10,4,+6.400,+1.341
4156.871,10,4,+6.487,+1.385
4160.274,10,4,+6.503,+1.356
4167.704,10,4,+6.896,+1.325
4174.701,10,4,+7.252,+1.393
4177.846,10,4,+7.272,+1.287
4182.732,10,4,+7.679,+1.435
4185.609,10,4,+7.712,+1.355
4189.072,10,4,+7.844,+1.192
4195.4,10,4,+8.002,+1.316
4198.06,10,4,+7.974,+1.277
4202.293,10,4,+7.706,+1.139
4205.38,10,4,+7.526,+1.027
4209.422,10,4,+7.583,+1.134
4212.204,10,4,+7.692,+1.284
4215.105,10,4,+7.752,+1.342
4217.062,10,4,+7.770,+1.345
4222.137,10,4,+8.141,+1.537
4225.181,10,4,+8.165,+1.520
4229.089,10,4,+8.130,+1.467
4231.537,10,4,+8.089,+1.435
4233.455,10,4,+8.066,+1.408
4238.893,10,4,+8.419,+1.518
4244.408,10,4,+8.744,+1.709
4247.903,10,4,+8.825,+1.751
4251.304,10,4,+8.844,+1.682
4258.668,10,4,+9.358,+1.625
4265.646,10,4,+9.627,+1.593
4268.803,10,4,+9.658,+1.499
4273.763,10,4,+10.054,+1.737
4276.677,10,4,+10.062,+1.677
4280.157,10,4,+10.161,+1.636
4286.441,10,4,+10.257,+1.677
4289.079,10,4,+10.226,+1.619
4293.346,10,4,+10.133,+1.468
4296.414,10,4,+10.132,+1.365
4300.4,10,4,+10.156,+1.313
4303.172,10,4,+10.271,+1.426
4306.116,10,4,+10.342,+1.486
4308.128,10,4,+10.469,+1.573
4313.118,10,4,+10.809,+1.710
4316.154,10,4,+10.839,+1.699
4320.081,10,4,+10.813,+1.650
4322.558,10,4,+10.777,+1.616
4324.447,10,4,+10.752,+1.586
4329.944,10,4,+11.195,+1.581
4335.537,10,4,+11.534,+1.784
4339.032,10,4,+11.641,+1.840
4342.47,10,4,+11.681,+1.791
4349.819,10,4,+12.175,+1.810
4356.817,10,4,+12.449,+1.802
4359.97,10,4,+12.458,+1.701
4364.964,10,4,+12.832,+1.921
4367.887,10,4,+12.862,+1.871
4371.358,10,4,+12.986,+1.769
4377.661,10,4,+13.149,+1.799
4380.303,10,4,+13.125,+1.745
4384.563,10,4,+13.071,+1.590
4387.649,10,4,+13.135,+1.518
4391.658,10,4,+13.198,+1.513
4394.453,10,4,+13.304,+1.633
4397.355,10,4,+13.382,+1.704
4399.313,10,4,+13.508,+1.742
4404.331,10,4,+13.814,+1.866
4407.324,10,4,+13.843,+1.852
4411.319,10,4,+13.829,+1.801
4413.766,10,4,+13.802,+1.764
4415.712,10,4,+13.788,+1.741
4421.14,10,4,+14.180,+1.826
4426.723,10,4,+14.445,+1.932
4430.158,10,4,+14.504,+1.959
4433.552,10,4,+14.513,+1.874
4440.992,10,4,+15.032,+1.887
4448.044,10,4,+15.310,+1.904
4451.197,10,4,+15.358,+1.841
4456.197,10,4,+15.768,+2.061
4459.042,10,4,+15.795,+2.002
4462.587,10,4,+15.920,+1.976
4468.984,10,4,+16.086,+2.117
4471.616,10,4,+16.075,+2.087
4475.894,10,4,+16.040,+1.957
4479.005,10,4,+16.052,+1.819
4483.007,10,4,+16.145,+1.830
4485.751,10,4,+16.278,+1.978
4488.69,10,4,+16.341,+2.035
4490.652,10,4,+16.471,+2.037
4495.658,10,4,+16.794,+2.222
4498.729,10,4,+16.843,+2.235
4502.677,10,4,+16.847,+2.204
4505.168,10,4,+16.830,+2.175
4507.11,10,4,+16.812,+2.167
4512.541,10,4,+17.203,+2.363
4518.155,10,4,+17.501,+2.614
4521.597,10,4,+17.598,+2.669
4525.015,10,4,+17.614,+2.599
4532.384,10,4,+18.118,+2.347
4539.311,10,4,+18.379,+2.344
4542.513,10,4,+18.444,+2.298
4547.45,10,4,+18.860,+2.479
4550.303,10,4,+18.885,+2.440
4553.793,10,4,+18.984,+2.382
4560.213,10,4,+19.169,+2.498
4562.815,10,4,+19.165,+2.467
4567.057,10,4,+19.093,+2.328
4570.102,10,4,+19.086,+2.201
4574.146,10,4,+19.179,+2.249
4576.853,10,4,+19.220,+2.340
4579.793,10,4,+19.261,+2.396
4581.695,10,4,+19.350,+2.384
4586.687,10,4,+19.667,+2.486
4589.664,10,4,+19.689,+2.475
4593.635,10,4,+19.681,+2.432
4596.15,10,4,+19.663,+2.401
4598.088,10,4,+19.630,+2.367
4603.489,10,4,+20.056,+2.483
4609.071,10,4,+20.391,+2.708
4612.549,10,4,+20.483,+2.773
4616.049,10,4,+20.567,+2.780
4623.376,10,4,+21.053,+2.750
4630.311,10,4,+21.308,+2.812
4633.495,10,4,+21.378,+2.762
4638.416,10,4,+21.859,+2.889
4641.349,10,4,+21.887,+2.826
4644.792,10,4,+22.049,+2.755
4651.143,10,4,+22.207,+2.866
4653.819,10,4,+22.195,+2.825
4658.077,10,4,+22.103,+2.637
4661.127,10,4,+22.166,+2.590
4665.203,10,4,+22.316,+2.637
4667.884,10,4,+22.370,+2.741
4670.75,10,4,+22.388,+2.780
4672.695,10,4,+22.440,+2.728
4677.742,10,4,+22.795,+2.885
4680.753,10,4,+22.829,+2.896
4684.68,10,4,+22.829,+2.867
4687.159,10,4,+22.813,+2.840
4689.086,10,4,+22.772,+2.813
4694.478,10,4,+23.163,+2.947
4700.006,10,4,+23.456,+3.106
4703.495,10,4,+23.521,+3.115
4706.87,10,4,+23.541,+3.065
4714.179,10,4,+23.947,+2.872
4721.186,10,4,+24.206,+2.911
4724.341,10,4,+24.242,+2.878
4729.278,10,4,+24.712,+3.134
4732.198,10,4,+24.772,+3.122
4735.636,10,4,+24.852,+3.065
4742.009,10,4,+25.022,+3.160
4744.654,10,4,+25.016,+3.131
4748.858,10,4,+24.916,+2.997
4751.921,10,4,+24.916,+2.880
4755.929,10,4,+24.990,+2.876
4758.63,10,4,+25.047,+2.980
4761.51,10,4,+25.066,+3.010
4763.502,10,4,+25.161,+3.020
4768.421,10,4,+25.452,+3.098
4771.433,10,4,+25.468,+3.093
4775.406,10,4,+25.464,+3.060
4777.911,10,4,+25.453,+3.034
4779.732,10,5,+25.453,+3.034
4779.892,10,5,+25.425,+0.101
4785.568,10,5,+26.114,+0.355
4791.377,10,5,+26.659,+0.594
4794.922,10,5,+26.776,+0.713
4798.288,10,5,+26.763,+0.637
4806.037,10,5,+27.614,+0.886
4813.089,10,5,+27.971,+0.923
4816.3,10,5,+28.021,+0.970
4821.368,10,5,+28.585,+1.213
4824.303,10,5,+28.639,+1.241
4827.727,10,5,+28.760,+1.147
4834.108,10,5,+29.011,+1.318
4836.778,10,5,+28.988,+1.318
4841.008,10,5,+28.929,+1.296
4844.17,10,5,+28.990,+1.316
4848.171,10,5,+29.170,+1.379
4850.945,10,5,+29.364,+1.481
4853.915,10,5,+29.464,+1.558
4855.849,10,5,+29.552,+1.580
4860.88,10,5,+29.946,+1.805
4863.891,10,5,+29.988,+1.840
4867.865,10,5,+29.971,+1.868
4870.215,10,6,+29.971,+1.868
4870.301,10,6,+29.949,+0.072
4872.3,10,6,+29.930,+0.204
4877.983,10,6,+30.621,+0.514
4883.771,10,6,+31.151,+0.839
4887.406,10,6,+31.293,+0.913
4890.766,10,6,+31.297,+0.863
