Time,Driver,Position,GapToLeader,IntervalToPositionAhead
4.885,44,1,LAP 1,LAP 1
2073.447,44,1,LAP 2,LAP 2
2164.863,44,1,LAP 3,LAP 3
2259.793,44,1,LAP 4,LAP 4
2268.855,44,2,LAP 4,LAP 4
2279.604,44,3,LAP 4,LAP 4
2285.83,44,3,+13.840,+3.004
2294.987,44,4,+13.840,+3.004
2295.091,44,4,+15.494,+0.095
2302.137,44,4,+16.423,+0.757
2308.259,44,4,+17.120,+1.215
2312.403,44,4,+17.702,+1.769
2315.098,44,4,+17.767,+1.841
2319.122,44,4,+18.127,+2.040
2323.231,44,4,+18.061,+1.694
2326.839,44,4,+17.829,+1.410
2332.234,44,4,+16.981,+1.027
2336.793,44,4,+16.934,+0.864
2341.365,44,4,+16.739,+0.555
2344.724,44,4,+16.780,+0.532
2347.198,44,4,+16.750,+0.540
2350.08,44,4,+16.693,+0.459
2355.8,44,4,+16.629,+0.215
2365.727,44,4,+16.684,+0.215
2365.732,44,3,+16.684,+0.215
2373.641,44,3,+13.491,+0.725
2377.364,44,1,LAP 5,LAP 5
2459.577,44,1,LAP 6,LAP 6
2543.556,44,1,LAP 7,LAP 7
2626.869,44,1,LAP 8,LAP 8
2709.037,44,1,LAP 9,LAP 9
2791.179,44,1,LAP 10,LAP 10
2872.687,44,1,LAP 11,LAP 11
2954.812,44,1,LAP 12,LAP 12
3036.694,44,1,LAP 13,LAP 13
3118.58,44,1,LAP 14,LAP 14
3200.306,44,1,LAP 15,LAP 15
3281.887,44,1,LAP 16,LAP 16
3363.361,44,1,LAP 17,LAP 17
3445.222,44,1,LAP 18,LAP 18
3526.606,44,1,LAP 19,LAP 19
3608.967,44,1,LAP 20,LAP 20
3690.855,44,1,LAP 21,LAP 21
3772.655,44,1,LAP 22,LAP 22
3854.394,44,1,LAP 23,LAP 23
3936.07,44,1,LAP 24,LAP 24
4017.419,44,1,LAP 25,LAP 25
4099.362,44,1,LAP 26,LAP 26
4180.762,44,1,LAP 27,LAP 27
4262.499,44,1,LAP 28,LAP 28
4344.047,44,1,LAP 29,LAP 29
4425.291,44,1,LAP 30,LAP 30
4506.488,44,1,LAP 31,LAP 31
4587.814,44,1,LAP 32,LAP 32
4669.329,44,1,LAP 33,LAP 33
4750.872,44,1,LAP 34,LAP 34
4832.576,44,1,LAP 35,LAP 35
4916.23,44,1,LAP 36,LAP 36
4997.689,44,1,LAP 37,LAP 37
5081.598,44,1,LAP 38,LAP 38
5182.284,44,1,LAP 39,LAP 39
5262.598,44,1,LAP 40,LAP 40
5342.707,44,1,LAP 41,LAP 41
5422.51,44,1,LAP 42,LAP 42
5502.37,44,1,LAP 43,LAP 43
5582.741,44,1,LAP 44,LAP 44
5662.709,44,1,LAP 45,LAP 45
5742.545,44,1,LAP 46,LAP 46
5822.291,44,1,LAP 47,LAP 47
5902.133,44,1,LAP 48,LAP 48
5981.866,44,1,LAP 49,LAP 49
6061.692,44,1,LAP 50,LAP 50
6141.966,44,1,LAP 51,LAP 51
6222.089,44,1,LAP 52,LAP 52
6302.238,44,1,LAP 53,LAP 53
6381.804,44,1,LAP 54,LAP 54
6462.119,44,1,LAP 55,LAP 55
6541.383,44,1,LAP 56,LAP 56
6621.6,44,1,LAP 57,LAP 57
6701.182,44,1,LAP 58,LAP 58
6780.44,44,1,LAP 59,LAP 59
