Time,Driver,Position,GapToLeader,IntervalToPositionAhead
2.458,1,1,,
3.833,1,1,LAP 1,LAP 1
3791.61,1,2,LAP 1,LAP 1
3791.657,1,2,+0.005,+0.005
3795.016,1,2,+0.029,+0.029
3798.828,1,1,LAP 1,LAP 1
3904.295,1,1,LAP 2,LAP 2
4068.667,1,1,LAP 3,LAP 3
4233.977,1,1,LAP 4,LAP 4
4409.708,1,1,LAP 5,LAP 5
4506.488,1,1,LAP 6,LAP 6
4604.314,1,1,LAP 7,LAP 7
4702.312,1,1,LAP 8,LAP 8
4800.467,1,1,LAP 9,LAP 9
4898.699,1,1,LAP 10,LAP 10
4997.01,1,1,LAP 11,LAP 11
5095.571,1,1,LAP 12,LAP 12
5194.163,1,1,LAP 13,LAP 13
5292.864,1,1,LAP 14,LAP 14
5412.628,1,1,LAP 15,LAP 15
5511.017,1,1,LAP 16,LAP 16
5612.109,1,1,LAP 17,LAP 17
5624.749,1,2,LAP 17,LAP 17
5626.843,1,3,LAP 17,LAP 17
5628.046,1,4,LAP 17,LAP 17
5632.202,1,5,LAP 17,LAP 17
5639.499,1,5,+12.522,+5.107
5643.233,1,5,+12.996,+5.618
5647.014,1,5,+12.881,+5.451
5650.405,1,5,+12.878,+5.417
5653.717,1,5,+12.805,+5.345
5660.202,1,5,+12.200,+4.885
5664.342,1,5,+12.006,+4.588
5667.67,1,5,+11.981,+4.474
5670.701,1,5,+12.065,+4.517
5675.936,1,5,+11.867,+4.277
5680.217,1,5,+11.907,+4.319
5685.842,1,5,+11.459,+3.838
5690.045,1,5,+11.413,+3.858
5693.092,1,5,+11.422,+3.864
5695.576,1,5,+11.432,+3.859
5699.06,1,5,+11.396,+3.833
5704.466,1,5,+11.239,+3.612
5708.138,1,5,+11.211,+3.572
5710.982,1,5,+11.199,+3.557
5715.779,1,5,+11.270,+3.581
5719.451,1,5,+11.331,+3.720
5726.997,1,5,+10.925,+3.306
5728.529,1,5,+7.167,+3.274
5730.216,1,5,+8.820,+3.261
5734.732,1,5,+7.117,+3.261
5734.747,1,3,+7.117,+3.261
5737.044,1,3,+7.091,+3.204
5740.388,1,3,+7.183,+3.284
5744.138,1,3,+7.009,+3.085
