Time,Driver,Position,GapToLeader,IntervalToPositionAhead
2.456,5,1,LAP 1,LAP 1
517.907,5,1,LAP 2,LAP 2
649.664,5,1,LAP 3,LAP 3
774.324,5,1,LAP 4,LAP 4
900.85,5,1,LAP 5,LAP 5
977.786,5,1,LAP 6,LAP 6
1053.909,5,1,LAP 7,LAP 7
1129.684,5,1,LAP 8,LAP 8
1205.603,5,1,LAP 9,LAP 9
1281.763,5,1,LAP 10,LAP 10
1357.068,5,1,LAP 11,LAP 11
1432.725,5,1,LAP 12,LAP 12
1508.109,5,1,LAP 13,LAP 13
1583.803,5,1,LAP 14,LAP 14
1659.264,5,1,LAP 15,LAP 15
1734.597,5,1,LAP 16,LAP 16
1810.229,5,1,LAP 17,LAP 17
1885.532,5,1,LAP 18,LAP 18
1960.988,5,1,LAP 19,LAP 19
2036.225,5,1,LAP 20,LAP 20
2111.537,5,1,LAP 21,LAP 21
2186.811,5,1,LAP 22,LAP 22
2262.245,5,1,LAP 23,LAP 23
2337.759,5,1,LAP 24,LAP 24
2412.897,5,1,LAP 25,LAP 25
2489.738,5,1,LAP 26,LAP 26
2565.291,5,1,LAP 27,LAP 27
2641.25,5,1,LAP 28,LAP 28
2716.824,5,1,LAP 29,LAP 29
2791.935,5,1,LAP 30,LAP 30
2866.972,5,1,LAP 31,LAP 31
2942.484,5,1,LAP 32,LAP 32
3018.157,5,1,LAP 33,LAP 33
3093.774,5,1,LAP 34,LAP 34
3168.879,5,1,LAP 35,LAP 35
3244.548,5,1,LAP 36,LAP 36
3319.827,5,1,LAP 37,LAP 37
3411.525,5,1,LAP 38,LAP 38
3489.294,5,1,LAP 39,LAP 39
3564.101,5,1,LAP 40,LAP 40
3638.069,5,1,LAP 41,LAP 41
3712.956,5,1,LAP 42,LAP 42
3787.499,5,1,LAP 43,LAP 43
3862.512,5,1,LAP 44,LAP 44
3937.741,5,1,LAP 45,LAP 45
4013.163,5,1,LAP 46,LAP 46
4087.427,5,1,LAP 47,LAP 47
4162.243,5,1,LAP 48,LAP 48
4236.784,5,1,LAP 49,LAP 49
4311.41,5,1,LAP 50,LAP 50
4385.909,5,1,LAP 51,LAP 51
4460.483,5,1,LAP 52,LAP 52
4535.236,5,1,LAP 53,LAP 53
4609.404,5,1,LAP 54,LAP 54
4684.438,5,1,LAP 55,LAP 55
4759.394,5,1,LAP 56,LAP 56
4833.782,5,1,LAP 57,LAP 57
4907.739,5,1,LAP 58,LAP 58
4981.892,5,1,LAP 59,LAP 59
5056.156,5,1,LAP 60,LAP 60
5130.658,5,1,LAP 61,LAP 61
5205.198,5,1,LAP 62,LAP 62
5279.802,5,1,LAP 63,LAP 63
