Time,Driver,Position,GapToLeader,IntervalToPositionAhead
5.958,81,1,LAP 1,LAP 1
2744.405,81,1,LAP 2,LAP 2
2817.056,81,1,LAP 3,LAP 3
2889.052,81,1,LAP 4,LAP 4
2961.332,81,1,LAP 5,LAP 5
3033.516,81,1,LAP 6,LAP 6
3105.635,81,1,LAP 7,LAP 7
3177.919,81,1,LAP 8,LAP 8
3250.632,81,1,LAP 9,LAP 9
3323.275,81,1,LAP 10,LAP 10
3395.417,81,1,LAP 11,LAP 11
3467.827,81,1,LAP 12,LAP 12
3540.175,81,1,LAP 13,LAP 13
3612.62,81,1,LAP 14,LAP 14
3684.894,81,1,LAP 15,LAP 15
3756.994,81,1,LAP 16,LAP 16
3829.28,81,1,LAP 17,LAP 17
3900.843,81,1,LAP 18,LAP 18
3973.395,81,1,LAP 19,LAP 19
4045.51,81,1,LAP 20,LAP 20
4117.85,81,1,LAP 21,LAP 21
4191.32,81,1,LAP 22,LAP 22
4210.459,81,2,LAP 22,LAP 22
4210.554,81,2,+0.012,+0.012
4217.098,81,2,+0.725,+0.725
4220.237,81,2,+0.767,+0.767
4223.411,81,2,+0.804,+0.804
4227.51,81,2,+1.006,+1.006
4232.45,81,2,+1.112,+1.112
4237.867,81,2,+1.077,+1.077
4244.633,81,2,+0.904,+0.904
4249.124,81,2,+0.849,+0.849
4255.866,81,2,+0.836,+0.836
4258.707,81,2,+0.786,+0.786
4265.612,81,2,+3.088,+3.088
4268.543,81,2,+3.129,+3.129
4275.391,81,2,+2.173,+2.173
4280.167,81,2,+1.917,+1.917
4283.239,81,2,+2.481,+2.481
4287.924,81,2,+2.866,+2.866
4291.002,81,2,+2.166,+2.166
4294.489,81,2,+1.136,+1.136
4297.817,81,2,+1.221,+1.221
4300.168,81,2,+1.280,+1.280
4307.282,81,2,+1.090,+1.090
4311.231,81,2,+0.695,+0.695
4315.223,81,2,+0.886,+0.886
4320.2,81,2,+1.059,+1.059
4326.033,81,2,+1.104,+1.104
4334.344,81,2,+2.484,+2.484
4345.72,81,2,+2.157,+2.157
4352.703,81,2,+1.362,+1.362
4360.727,81,2,+1.017,+1.017
4365.284,81,2,+0.757,+0.757
4372.367,81,2,+0.896,+0.896
4374.272,81,2,+0.950,+0.950
4377.828,81,2,+1.314,+1.314
4380.614,81,2,+1.415,+1.415
4383.411,81,2,+1.842,+1.842
4388.21,81,2,+2.324,+2.324
4391.157,81,2,+1.867,+1.867
4394.595,81,2,+0.780,+0.780
4397.723,81,2,+0.639,+0.639
4399.885,81,2,+0.563,+0.563
4406.386,81,2,+0.687,+0.687
4409.512,81,2,+0.674,+0.674
4412.644,81,2,+0.667,+0.667
4416.634,81,2,+0.755,+0.755
4421.519,81,2,+0.865,+0.865
4426.722,81,2,+0.877,+0.877
4433.268,81,2,+0.909,+0.909
4437.684,81,2,+0.936,+0.936
4444.345,81,2,+1.025,+1.025
4447.362,81,2,+1.013,+1.013
4451.233,81,2,+0.983,+0.983
4452.262,81,2,+0.918,+0.918
4454.614,81,2,+0.593,+0.593
5.958,4,2,,
2744.997,4,2,+0.598,+0.598
2817.286,4,2,+0.506,+0.506
2889.774,4,2,+0.732,+0.732
2961.817,4,2,+0.495,+0.495
3014.723,4,2,+0.723,+0.723
3017.378,4,2,+0.774,+0.774
3023.762,4,2,+0.755,+0.755
3026.799,4,2,+0.742,+0.742
3030.703,4,2,+0.713,+0.713
3031.725,4,2,+0.678,+0.678
3034.077,4,2,+0.563,+0.563
3036.275,4,2,+0.446,+0.446
3038.298,4,2,+0.540,+0.540
3042.392,4,2,+0.566,+0.566
3044.967,4,2,+0.573,+0.573
3047.868,4,2,+0.572,+0.572
3050.545,4,2,+0.539,+0.539
3052.522,4,2,+0.458,+0.458
3058.467,4,2,+0.621,+0.621
3061.598,4,2,+0.624,+0.624
3064.736,4,2,+0.646,+0.646
3068.744,4,2,+0.676,+0.676
