Time,Driver,Position,GapToLeader,IntervalToPositionAhead
9.9,1,1,LAP 1,LAP 1
3504.754,1,1,LAP 2,LAP 2
3605.035,1,1,LAP 3,LAP 3
3705.124,1,1,LAP 4,LAP 4
3804.855,1,1,LAP 5,LAP 5
3905.125,1,1,LAP 6,LAP 6
4005.253,1,1,LAP 7,LAP 7
4123.925,1,1,LAP 8,LAP 8
4262.43,1,1,LAP 9,LAP 9
4365.213,1,1,LAP 10,LAP 10
4464.416,1,1,LAP 11,LAP 11
4564.023,1,1,LAP 12,LAP 12
4663.493,1,1,LAP 13,LAP 13
4763.068,1,1,LAP 14,LAP 14
4862.589,1,1,LAP 15,LAP 15
4962.681,1,1,LAP 16,LAP 16
5062.456,1,1,LAP 17,LAP 17
5162.195,1,1,LAP 18,LAP 18
5261.553,1,1,LAP 19,LAP 19
5361.03,1,1,LAP 20,LAP 20
5460.53,1,1,LAP 21,LAP 21
5560.122,1,1,LAP 22,LAP 22
5659.884,1,1,LAP 23,LAP 23
5759.385,1,1,LAP 24,LAP 24
5858.91,1,1,LAP 25,LAP 25
5958.374,1,1,LAP 26,LAP 26
6058.288,1,1,LAP 27,LAP 27
6158.433,1,1,LAP 28,LAP 28
6258.447,1,1,LAP 29,LAP 29
6358.309,1,1,LAP 30,LAP 30
6458.334,1,1,LAP 31,LAP 31
6558.373,1,1,LAP 32,LAP 32
6658.879,1,1,LAP 33,LAP 33
6760.225,1,1,LAP 34,LAP 34
6878.574,1,1,LAP 35,LAP 35
6976.546,1,1,LAP 36,LAP 36
7075.266,1,1,LAP 37,LAP 37
7173.96,1,1,LAP 38,LAP 38
7272.49,1,1,LAP 39,LAP 39
7370.818,1,1,LAP 40,LAP 40
7469.132,1,1,LAP 41,LAP 41
7567.42,1,1,LAP 42,LAP 42
7666.265,1,1,LAP 43,LAP 43
7764.834,1,1,LAP 44,LAP 44
7863.553,1,1,LAP 45,LAP 45
7962.053,1,1,LAP 46,LAP 46
8060.48,1,1,LAP 47,LAP 47
8158.639,1,1,LAP 48,LAP 48
8256.993,1,1,LAP 49,LAP 49
8355.54,1,1,LAP 50,LAP 50
8454.116,1,1,LAP 51,LAP 51
8552.293,1,1,LAP 52,LAP 52
8650.505,1,1,LAP 53,LAP 53
8748.587,1,1,LAP 54,LAP 54
8847.527,1,1,LAP 55,LAP 55
8946.483,1,1,LAP 56,LAP 56
9.9,4,2,,
3409.277,4,2,+0.251,+0.251
3412.293,4,2,+0.160,+0.160
3419.263,4,3,+0.160,+0.160
3419.387,4,3,+0.211,+0.053
3422.99,4,3,+0.345,+0.240
3427.175,4,3,+0.769,+0.352
3432.662,4,3,+1.154,+0.395
3436.436,4,3,+1.409,+0.548
3441.423,4,3,+1.565,+0.591
3445.999,4,3,+1.511,+0.557
3454.016,4,3,+1.790,+0.645
3458.362,4,3,+1.764,+0.611
3461.536,4,3,+1.741,+0.596
3465.703,4,3,+1.689,+0.569
