Time,Driver,Position,GapToLeader,IntervalToPositionAhead
6.179,44,1,LAP 1,LAP 1
2134.286,44,1,LAP 2,LAP 2
2244.558,44,1,LAP 3,LAP 3
2354.603,44,1,LAP 4,LAP 4
2464.906,44,1,LAP 5,LAP 5
2574.369,44,1,LAP 6,LAP 6
2684.454,44,1,LAP 7,LAP 7
2794.373,44,1,LAP 8,LAP 8
2904.392,44,1,LAP 9,LAP 9
3014.063,44,1,LAP 10,LAP 10
3123.916,44,1,LAP 11,LAP 11
3278.037,44,1,LAP 12,LAP 12
3465.951,44,1,LAP 13,LAP 13
3646.053,44,1,LAP 14,LAP 14
3811.74,44,1,LAP 15,LAP 15
3920.052,44,1,LAP 16,LAP 16
4028.346,44,1,LAP 17,LAP 17
4136.48,44,1,LAP 18,LAP 18
4244.969,44,1,LAP 19,LAP 19
4353.26,44,1,LAP 20,LAP 20
4461.774,44,1,LAP 21,LAP 21
4570.383,44,1,LAP 22,LAP 22
4679.154,44,1,LAP 23,LAP 23
4787.691,44,1,LAP 24,LAP 24
4895.812,44,1,LAP 25,LAP 25
5004.131,44,1,LAP 26,LAP 26
5112.014,44,1,LAP 27,LAP 27
5220.265,44,1,LAP 28,LAP 28
5328.044,44,1,LAP 29,LAP 29
5435.989,44,1,LAP 30,LAP 30
5544.184,44,1,LAP 31,LAP 31
5653.013,44,1,LAP 32,LAP 32
5761.587,44,1,LAP 33,LAP 33
5869.521,44,1,LAP 34,LAP 34
5977.951,44,1,LAP 35,LAP 35
6086.063,44,1,LAP 36,LAP 36
6194.429,44,1,LAP 37,LAP 37
6303.637,44,1,LAP 38,LAP 38
6412.525,44,1,LAP 39,LAP 39
6521.034,44,1,LAP 40,LAP 40
6629.93,44,1,LAP 41,LAP 41
6739.784,44,1,LAP 42,LAP 42
6851.19,44,1,LAP 43,LAP 43
6960.787,44,1,LAP 44,LAP 44
6.179,77,2,,
2028.314,77,2,+0.074,+0.074
2034.873,77,2,+0.194,+0.194
2039.285,77,2,+0.100,+0.100
2042.925,77,2,+0.270,+0.270
2045.534,77,2,+0.371,+0.371
2048.959,77,2,+0.375,+0.375
2052.438,77,2,+0.326,+0.326
2056.206,77,2,+0.201,+0.201
2059.814,77,2,+0.247,+0.247
2064.659,77,2,+0.663,+0.663
2068.332,77,2,+0.907,+0.907
2072.155,77,2,+0.889,+0.889
2076.514,77,2,+0.808,+0.808
2080.678,77,2,+0.896,+0.896
2085.06,77,2,+0.865,+0.865
2088.947,77,2,+0.936,+0.936
2092.671,77,2,+0.925,+0.925
2097.094,77,2,+0.947,+0.947
2101.417,77,2,+1.024,+1.024
2105.4,77,2,+1.053,+1.053
2111.147,77,2,+0.986,+0.986
2113.637,77,2,+0.975,+0.975
2116.754,77,2,+0.941,+0.941
2120.538,77,2,+0.889,+0.889
2124.385,77,2,+0.832,+0.832
2130.44,77,2,+1.048,+1.048
2135.674,77,2,+1.416,+1.416
2140.267,77,2,+1.594,+1.594
2146.456,77,2,+1.623,+1.623
2150.735,77,2,+1.659,+1.659
2154.061,77,2,+1.640,+1.640
2156.47,77,2,+1.611,+1.611
2159.932,77,2,+1.567,+1.567
2163.024,77,2,+1.524,+1.524
2167.183,77,2,+1.484,+1.484
2170.725,77,2,+1.558,+1.558
2175.176,77,2,+1.576,+1.576
2178.614,77,2,+1.663,+1.663
2182.44,77,2,+1.598,+1.598
2186.895,77,2,+1.559,+1.559
2190.925,77,2,+1.578,+1.578
2195.175,77,2,+1.543,+1.543
2199.039,77,2,+1.333,+1.333
2202.811,77,2,+1.271,+1.271
2207.089,77,2,+1.085,+1.085
2211.517,77,2,+1.190,+1.190
2215.697,77,2,+1.297,+1.297
2221.586,77,2,+1.242,+1.242
2224.026,77,2,+1.233,+1.233
2227.166,77,2,+1.207,+1.207
2230.973,77,2,+1.154,+1.154
2234.835,77,2,+1.136,+1.136
2240.908,77,2,+1.442,+1.442
2245.822,77,2,+1.290,+1.290
2250.245,77,2,+1.315,+1.315
2256.487,77,2,+1.348,+1.348
2260.747,77,2,+1.372,+1.372
2264.091,77,2,+1.351,+1.351
2266.448,77,2,+1.334,+1.334
2269.869,77,2,+1.302,+1.302
2272.984,77,2,+1.264,+1.264
2277.186,77,2,+1.177,+1.177
2280.634,77,2,+1.099,+1.099
2285.133,77,2,+1.199,+1.199
2288.448,77,2,+1.219,+1.219
2292.208,77,2,+0.988,+0.988
2296.956,77,2,+1.299,+1.299
2301.028,77,2,+1.435,+1.435
2305.276,77,2,+1.439,+1.439
2309.119,77,2,+1.310,+1.310
2312.881,77,2,+1.247,+1.247
2317.253,77,2,+1.259,+1.259
2321.657,77,2,+1.344,+1.344
2325.716,77,2,+1.420,+1.420
2331.665,77,2,+1.413,+1.413
2334.144,77,2,+1.397,+1.397
2337.208,77,2,+1.369,+1.369
2341.14,77,2,+1.326,+1.326
2344.981,77,2,+1.259,+1.259
2351.049,77,2,+1.493,+1.493
2356.054,77,2,+1.460,+1.460
2360.502,77,2,+1.402,+1.402
2366.721,77,2,+1.388,+1.388
2371.012,77,2,+1.400,+1.400
2374.292,77,2,+1.379,+1.379
2376.692,77,2,+1.358,+1.358
2380.105,77,2,+1.327,+1.327
2383.19,77,2,+1.289,+1.289
2387.401,77,2,+1.181,+1.181
2390.776,77,2,+1.191,+1.191
2395.34,77,2,+1.418,+1.418
2398.753,77,2,+1.469,+1.469
2402.594,77,2,+1.365,+1.365
2407.099,77,2,+1.455,+1.455
2411.123,77,2,+1.532,+1.532
2415.402,77,2,+1.483,+1.483
2419.317,77,2,+1.314,+1.314
2422.964,77,2,+1.200,+1.200
2427.424,77,2,+1.142,+1.142
2431.797,77,2,+1.157,+1.157
2435.896,77,2,+1.225,+1.225
2441.738,77,2,+1.095,+1.095
2444.139,77,2,+1.065,+1.065
2447.336,77,2,+1.029,+1.029
2451.142,77,2,+0.977,+0.977
2455.013,77,2,+0.902,+0.902
2460.849,77,2,+1.083,+1.083
2466.016,77,2,+1.128,+1.128
2470.273,77,2,+1.056,+1.056
2476.607,77,2,+1.254,+1.254
2480.961,77,2,+1.273,+1.273
2484.29,77,2,+1.250,+1.250
2486.621,77,2,+1.225,+1.225
2490.028,77,2,+1.185,+1.185
2493.072,77,2,+1.140,+1.140
2497.323,77,2,+1.058,+1.058
2500.85,77,2,+1.215,+1.215
2505.311,77,2,+1.402,+1.402
2508.75,77,2,+1.392,+1.392
2512.615,77,2,+1.382,+1.382
2517.303,77,2,+1.448,+1.448
2521.123,77,2,+1.515,+1.515
2525.419,77,2,+1.502,+1.502
2529.129,77,2,+1.325,+1.325
2532.833,77,2,+1.247,+1.247
2537.308,77,2,+1.335,+1.335
2542.084,77,2,+1.509,+1.509
2546.38,77,2,+1.654,+1.654
2551.739,77,2,+1.655,+1.655
2554.248,77,2,+1.639,+1.639
2557.33,77,2,+1.608,+1.608
2561.253,77,2,+1.565,+1.565
2565.1,77,2,+1.507,+1.507
2570.991,77,2,+1.706,+1.706
2575.992,77,2,+1.659,+1.659
2580.36,77,2,+1.640,+1.640
2586.671,77,2,+1.773,+1.773
2591.01,77,2,+1.792,+1.792
